zoning_building_id,zoning_id,building_type_id,zoning_name,building_type_name,can_develop,conditional_use,cost_in_city,cost_in_ugb,cost_outside_ugb,probability,cost_notes,max_building_area,notes
27,2,2122,COB -- HWY COMMERCIAL DISTRICT -- C-2,Mixed Use - Office + Residential - Large Building,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
28,2,2131,COB -- HWY COMMERCIAL DISTRICT -- C-2,Mixed Use - Services + Residential - Small Building,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
29,2,2132,COB -- HWY COMMERCIAL DISTRICT -- C-2,Mixed Use - Services + Residential - Large Building,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
30,2,3100,COB -- HWY COMMERCIAL DISTRICT -- C-2,Hotel,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Club, lodges, fraternities and similar uses "
31,2,3200,COB -- HWY COMMERCIAL DISTRICT -- C-2,Resort,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Club, lodges, fraternities and similar uses "
32,2,4220,COB -- HWY COMMERCIAL DISTRICT -- C-2,Eating and Drinking,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,"Drinking establishments, not including restaurants and alcohol beverage sales, are conditional "
33,2,4230,COB -- HWY COMMERCIAL DISTRICT -- C-2,Neighborhood Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
34,2,4240,COB -- HWY COMMERCIAL DISTRICT -- C-2,Strip Shopping Mall,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
35,2,4250,COB -- HWY COMMERCIAL DISTRICT -- C-2,Shopping Mall,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
36,2,4260,COB -- HWY COMMERCIAL DISTRICT -- C-2,Big Box Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
37,2,4290,COB -- HWY COMMERCIAL DISTRICT -- C-2,Misc. Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
38,2,4300,COB -- HWY COMMERCIAL DISTRICT -- C-2,Services,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
39,2,4310,COB -- HWY COMMERCIAL DISTRICT -- C-2,Financial Services,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
40,2,5100,COB -- HWY COMMERCIAL DISTRICT -- C-2,Light Industrial / Warehousing,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,"Small-scale manufacturing or processing, provided that the front 25 feet of the building's ground floor facing the principal commercial street shall be used for commercial uses or business or professional offices. "
41,2,6210,COB -- HWY COMMERCIAL DISTRICT -- C-2,Medical Lab,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,
42,2,6220,COB -- HWY COMMERCIAL DISTRICT -- C-2,Clinic,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,
43,2,6500,COB -- HWY COMMERCIAL DISTRICT -- C-2,Cultural / Civic / Recreation,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Amusement establishments conditional; places of worship conditional; Farmers' Market conditional 
44,2,6600,COB -- HWY COMMERCIAL DISTRICT -- C-2,Government,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
45,2,8000,COB -- HWY COMMERCIAL DISTRICT -- C-2,Agriculture / Timber / Mining,False,False,-99999.99,-99999.99,-99999.99,0,,,No new agricultural uses; code silent on timber/mining
46,3,1110,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Single-family Detached,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to locational standards in Section 12.b.
47,3,2111,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Mixed Use - Retail + Residential - Small Building,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
48,3,2112,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Mixed Use - Retail + Residential - Large Building,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
49,3,2121,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Mixed Use - Office + Residential - Small Building,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
50,3,2122,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Mixed Use - Office + Residential - Large Building,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
51,3,2131,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Mixed Use - Services + Residential - Small Building,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
52,3,2132,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Mixed Use - Services + Residential - Large Building,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
53,3,3100,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Hotel,True,False,0.0,-99999.99,-99999.99,1,,,"Club, lodges, fraternities and similar uses "
54,3,3200,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Resort,True,False,0.0,-99999.99,-99999.99,1,,,"Club, lodges, fraternities and similar uses "
55,3,4220,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Eating and Drinking,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,"Drinking establishments, not including restaurants and alcohol beverage sales, are conditional "
56,3,4230,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Neighborhood Retail,True,False,0.0,-99999.99,-99999.99,1,,10000.0,
57,3,4240,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Strip Shopping Mall,True,False,0.0,-99999.99,-99999.99,1,,10000.0,
58,3,4250,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Shopping Mall,True,False,0.0,-99999.99,-99999.99,1,,10000.0,
59,3,4260,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Big Box Retail,True,False,0.0,-99999.99,-99999.99,1,,10000.0,
60,3,4290,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Misc. Retail,True,False,0.0,-99999.99,-99999.99,1,,10000.0,
61,3,4300,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Services,True,False,0.0,-99999.99,-99999.99,1,,,
62,3,4310,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Financial Services,True,False,0.0,-99999.99,-99999.99,1,,,
63,3,5100,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Light Industrial / Warehousing,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,"Small-scale manufacturing or processing, provided that the front 25 feet of the building's ground floor facing the principal commercial street shall be used for commercial uses or business or professional offices. "
64,3,6210,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Medical Lab,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,
65,3,6220,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Clinic,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,
66,3,6500,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Cultural / Civic / Recreation,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Amusement establishments conditional; places of worship conditional; Farmers' Market conditional 
67,3,6600,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Government,True,False,0.0,-99999.99,-99999.99,1,,,
68,3,8000,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,Agriculture / Timber / Mining,False,False,-99999.99,-99999.99,-99999.99,0,,,No new agricultural uses; code silent on timber/mining
69,4,1110,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Single-family Detached,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
70,4,1121,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Townhome or Rowhouse,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
71,4,1122,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Duplex,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
72,4,1130,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Mobile Homes,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
73,4,1210,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Multifamily - Small Building,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
74,4,1220,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Multifamily - Large Building,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
75,4,2111,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Mixed Use - Retail + Residential - Small Building,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,No ground floor residential 
76,4,2112,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Mixed Use - Retail + Residential - Large Building,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,No ground floor residential 
77,4,2121,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Mixed Use - Office + Residential - Small Building,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,No ground floor residential 
78,4,2122,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Mixed Use - Office + Residential - Large Building,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,No ground floor residential 
79,4,2131,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Mixed Use - Services + Residential - Small Building,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,No ground floor residential 
80,4,2132,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Mixed Use - Services + Residential - Large Building,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,No ground floor residential 
81,4,4100,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Office,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
82,4,4220,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Eating and Drinking,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
83,4,4300,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Services,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
84,4,4320,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Auto Sales / Parts / Repair,True,False,3900.0,-99999.99,-99999.99,1,Site Review,50000.0,To include service and gasoline stations
85,4,4900,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Misc. Commercial,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Commercial uses requiring outdoor storage, display, or customer service areas, such as vehicle sales, rental and repair, retail lumberyards, greenhouses, and retail building supply "
86,4,5100,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Light Industrial / Warehousing,False,False,-99999.99,-99999.99,-99999.99,0,,,No new uses
87,4,6210,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Medical Lab,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Medical care may require interpretation. Listed as ""human care"""
88,4,6220,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Clinic,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Medical care may require interpretation. Listed as ""human care"""
89,4,6230,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Hospital,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Ambulance service as a conditional use
90,4,6500,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Cultural / Civic / Recreation,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,"Commercial recreation facilities including indoor theaters, bowling alleys, indoor skating rinks or similar uses that are conducted wholly within a fully enclosed building that is set back at least 75 feet from any property line shared with the Residential District. "
91,4,6600,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Government,True,False,-99999.99,-99999.99,-99999.99,1,Site Review,,
92,4,7200,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Nursing Home,True,False,-99999.99,-99999.99,-99999.99,1,Site Review,,
93,4,8000,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Agriculture / Timber / Mining,False,False,-99999.99,-99999.99,-99999.99,0,,,No new agricultural uses. Code silent on timber/mining
94,4,9000,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,Other,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,"Transportation facilities; Conditional truck stops on parcels or lots that do not share more than 75 feet of a property line with the Residential Zone; Residential structures and uses for on-site security and/or management personnel in conjunction with and as part of another permitted use, up to 1,000 square feet total floor area"
95,5,1110,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Single-family Detached,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
96,5,1121,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Townhome or Rowhouse,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
97,5,1122,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Duplex,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
98,5,1130,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Mobile Homes,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
99,5,1210,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Multifamily - Small Building,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
100,5,1220,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Multifamily - Large Building,False,False,-99999.99,-99999.99,-99999.99,0,,,No new residential uses 
101,5,2111,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Mixed Use - Retail + Residential - Small Building,True,False,0.0,-99999.99,-99999.99,1,,,No ground floor residential 
102,5,2112,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Mixed Use - Retail + Residential - Large Building,True,False,0.0,-99999.99,-99999.99,1,,,No ground floor residential 
103,5,2121,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Mixed Use - Office + Residential - Small Building,True,False,0.0,-99999.99,-99999.99,1,,,No ground floor residential 
104,5,2122,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Mixed Use - Office + Residential - Large Building,True,False,0.0,-99999.99,-99999.99,1,,,No ground floor residential 
105,5,2131,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Mixed Use - Services + Residential - Small Building,True,False,0.0,-99999.99,-99999.99,1,,,No ground floor residential 
106,5,2132,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Mixed Use - Services + Residential - Large Building,True,False,0.0,-99999.99,-99999.99,1,,,No ground floor residential 
107,5,4100,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Office,True,False,0.0,-99999.99,-99999.99,1,,,
108,5,4220,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Eating and Drinking,True,False,0.0,-99999.99,-99999.99,1,,,
109,5,4300,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Services,True,False,0.0,-99999.99,-99999.99,1,,,
110,5,4320,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Auto Sales / Parts / Repair,True,False,0.0,-99999.99,-99999.99,1,,50000.0,To include service and gasoline stations
111,5,4900,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Misc. Commercial,True,False,0.0,-99999.99,-99999.99,1,,,"Commercial uses requiring outdoor storage, display, or customer service areas, such as vehicle sales, rental and repair, retail lumberyards, greenhouses, and retail building supply "
112,5,5100,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Light Industrial / Warehousing,False,False,-99999.99,-99999.99,-99999.99,0,,,No new uses
113,5,6210,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Medical Lab,True,False,0.0,-99999.99,-99999.99,1,,,"Medical care may require interpretation. Listed as ""human care"""
114,5,6220,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Clinic,True,False,0.0,-99999.99,-99999.99,1,,,"Medical care may require interpretation. Listed as ""human care"""
115,5,6230,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Hospital,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Ambulance service as a conditional use
116,5,6500,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Cultural / Civic / Recreation,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,"Commercial recreation facilities including indoor theaters, bowling alleys, indoor skating rinks or similar uses that are conducted wholly within a fully enclosed building that is set back at least 75 feet from any property line shared with the Residential District. "
117,5,6600,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Government,True,False,0.0,-99999.99,-99999.99,1,,,
118,5,7200,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Nursing Home,True,False,0.0,-99999.99,-99999.99,1,,,
119,5,8000,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Agriculture / Timber / Mining,False,False,-99999.99,-99999.99,-99999.99,0,,,No new agricultural uses. Code silent on timber/mining
120,5,9000,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,Other,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,"Transportation facilities; Conditional truck stops on parcels or lots that do not share more than 75 feet of a property line with the Residential Zone; Residential structures and uses for on-site security and/or management personnel in conjunction with and as part of another permitted use, up to 1,000 square feet total floor area"
121,6,4220,COB -- TRADITIONAL RESIDENTIAL -- TR,Eating and Drinking,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
122,6,4230,COB -- TRADITIONAL RESIDENTIAL -- TR,Neighborhood Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
123,6,4290,COB -- TRADITIONAL RESIDENTIAL -- TR,Misc. Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,5000.0,"Retail and service commercial uses up to 5,000 square feet in gross floor are permitted (e.g., convenience markets, restaurants, banks, dry cleaners, retail sales of products made on-site, and similar uses)"
124,6,4300,COB -- TRADITIONAL RESIDENTIAL -- TR,Services,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
125,6,4400,COB -- TRADITIONAL RESIDENTIAL -- TR,Storage,True,False,3900.0,-99999.99,-99999.99,1,Site Review,250000.0,
126,6,5100,COB -- TRADITIONAL RESIDENTIAL -- TR,Light Industrial / Warehousing,True,False,3900.0,-99999.99,-99999.99,1,Site Review,250000.0,Warehousing only
127,6,5200,COB -- TRADITIONAL RESIDENTIAL -- TR,Heavy Industrial,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
128,6,6300,COB -- TRADITIONAL RESIDENTIAL -- TR,Parking Structure,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
129,6,6600,COB -- TRADITIONAL RESIDENTIAL -- TR,Government,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,"Public and semi-public buildings, including, but not limited to, fire stations and reservoirs essential to the physical, social and economic welfare of an area"
130,6,8000,COB -- TRADITIONAL RESIDENTIAL -- TR,Agriculture / Timber / Mining,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,"Agricultural uses that were legally established prior to September 30, 2005; Resource extraction conditional"
131,6,9000,COB -- TRADITIONAL RESIDENTIAL -- TR,Other,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Animal hospitals and clinics; Accessory buildings and uses normal and incidental to the uses permitted in this district. ; Residential structures and uses for on-site security and/or management personnel in conjunction with and as a part of a Light Industrial District permitted use not exceed 1,000 square feet in total area; Transportation facilities consistent with the City's Transportation System Plan. "
132,7,1110,COB -- PUBLIC FACILITY -- W,Single-family Detached,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to locational standards; subject to Site Plan Review
133,7,3100,COB -- PUBLIC FACILITY -- W,Hotel,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,"Clubs, lodges, fraternities and similar uses; subject to Site Plan Review"
134,7,3200,COB -- PUBLIC FACILITY -- W,Resort,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,"Clubs, lodges, fraternities and similar uses; subject to Site Plan Review"
135,7,4100,COB -- PUBLIC FACILITY -- W,Office,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to Site Plan Review
136,7,4210,COB -- PUBLIC FACILITY -- W,Grocery Store,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,Subject to Site Plan Review
137,7,4220,COB -- PUBLIC FACILITY -- W,Eating and Drinking,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,Subject to Site Plan Review
138,7,4230,COB -- PUBLIC FACILITY -- W,Neighborhood Retail,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,Subject to Site Plan Review
139,7,4240,COB -- PUBLIC FACILITY -- W,Strip Shopping Mall,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,Subject to Site Plan Review
140,7,4250,COB -- PUBLIC FACILITY -- W,Shopping Mall,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,Subject to Site Plan Review
141,7,4260,COB -- PUBLIC FACILITY -- W,Big Box Retail,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,Subject to Site Plan Review
142,7,4290,COB -- PUBLIC FACILITY -- W,Misc. Retail,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,10000.0,Subject to Site Plan Review
143,7,4300,COB -- PUBLIC FACILITY -- W,Services,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to Site Plan Review
144,7,4310,COB -- PUBLIC FACILITY -- W,Financial Services,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to Site Plan Review
145,7,6210,COB -- PUBLIC FACILITY -- W,Medical Lab,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to Site Plan Review
146,7,6300,COB -- PUBLIC FACILITY -- W,Parking Structure,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to Site Plan Review
147,7,6500,COB -- PUBLIC FACILITY -- W,Cultural / Civic / Recreation,True,True,3200.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to Site Plan Review
